Category;Approach;Output;;Dataset;;;;;;;Index;;Input;;Retrieval;;;;Presentation;;;Language
;;;;;;;;;;;;;;;;;;;;;;
;;General Code;API Usage;Specific Open Source Projects;Super Repositories;Developer Q &A;Language/API Documentation;Code Clone;Challenge/Competition;Existing Benchmark;Inverted;Graph Index;Natural Language;Code Fragment;Textual Similarity;Graph Similarity;Matrix Computation;Embedding Vector Similarity;Search Engine;Idea;IDE Extension;
;;;;;;;;;;;;;;;;;;;;;;
Machine Learning;MMMF~\cite{weimer_maximum_2009};Yes;;Yes;;;;;;;;;;Yes;;;Yes;;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;
;Surisetty~\cite{surisetty_behavior_based_2014};Yes;;Yes;;;;;;;Yes;;Yes;;;;;Yes;;Yes;;
;;;;;;;;;;;;;;;;;;;;;;
;ROSF~\cite{jiang_rosf_2016};Yes;;Yes;;;;;;;Yes;;Yes;;Yes;;;Yes;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;
;Source Forager~\cite{kashyap_source_2017};Yes;;;Yes;;;;;;;Yes;;Yes;;;;Yes;;;Yes;C/C++
;;;;;;;;;;;;;;;;;;;;;;
;Zou et al.~\cite{zou_graph_2018};Yes;;;;Yes;Yes;;;;;Yes;Yes;;;;;Yes;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;
;CodeKernel~\cite{gu_codekernel_2019};;Yes;Yes;;;Yes;;;;;Yes;;Yes;;;;Yes;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;
;CODEC~\cite{mukherjee_searching_2020};Yes;;;Yes;;;;;;;;;Yes;Yes;Yes;;Yes;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;
;ExAssist~\cite{nguyen_recommending_2019,nguyen_recommendation_2019};Yes;;Yes;;;;;;;;;;Yes;Yes;;;;Yes;;Yes;Java
;;;;;;;;;;;;;;;;;;;;;;
;CodeMF~\cite{hu_unsupervised_2020};Yes;;;;Yes;;;;;;;Yes;;Yes;;;;Yes;;;C\#, SQL
;;;;;;;;;;;;;;;;;;;;;;
Neural Network;Nguyen et al.~\cite{nguyen_combining_2017};;Yes;Yes;;;Yes;;;;;;Yes;;Yes;;;Yes;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;
;CODEnn~\cite{gu_deep_2018};Yes;;;Yes;;;;;;;;Yes;;;;;Yes;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;
;MP-CAT~\cite{haldar_multi_perspective_2020};Yes;;;;Yes;;;;;;;Yes;;;;;Yes;Yes;;;Python
;;;;;;;;;;;;;;;;;;;;;;
;CSDA~\cite{ren_csda_2020};Yes;;;Yes;;;;;;;;Yes;;;;;Yes;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;
;CARLCS-CNN~\cite{shuai_improving_2020};Yes;;;Yes;;;;;;;;Yes;;;;;Yes;Yes;;;Java
