Category;Approach;Output;;Dataset;;;;;Indexing;;;;Input;;;;;;;Retrieval;;;;;Presentation;;;Languages
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; General Code; API Usage; Specific Open Source Projects; Super Repositories; Developer Q\&A; Language/API Documentation; Others; Inverted; Database (B+ Tree); Graph Index; File Prefix; Natural Language; Code Fragment; Input/Ouput; Software Specification; Query Language; Binary; Class/Interface Type; Textual Similarity; Graph Similarity; Solver; Type Links; Embedding Vector Similarity; Search Engine; Idea; IDE Extension;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keyword-based;Jsearch~\cite{sindhgatta_using_2006};Yes;;;;;;;;;Yes;;;Yes;;;;;;Yes;;;;;;;Yes;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CoCaBu~\cite{sirres_augmenting_2018_main_};Yes;;;Yes;Yes;;;Yes;;;;Yes;;;;;;;Yes;;;;;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Murakami et al.~\cite{murakami_code_2014};Yes;;Yes;;;;;;Yes;;;;Yes;;;;;;Yes;;;;;;Yes;;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;McMillan et al.~\cite{mcmillan_recommending_2010};;Yes;Yes;;;;;Yes;;;;Yes;;;;;;;Yes;;;;;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Exemplar~\cite{mcmillan_exemplar_2012,grechanik_search_2010,grechanik_exemplar:_2010};Yes;;;Yes;;;;Yes;;;;Yes;;;;;;;Yes;;;;;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Example Overflow~\cite{zagalsky_example_2012};Yes;;;;Yes;;;Yes;;;;Yes;;;;;;;Yes;;;;;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Selene~\cite{takuya_spontaneous_2011,murakami_optimizing_2012};Yes;;Yes;;;;;Yes;;;;;Yes;;;;;;Yes;;;;;Yes;;Yes;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SoCeR~\cite{islam_socer_2020};Yes;;Yes;;;;;Yes;;;;Yes;;;;;;;;;;;Yes;Yes;;;Python
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Structure-based;Aroma~\cite{luan_aroma_2019};Yes;;;Yes;;;;;Yes;;;;Yes;;;;;;;Yes;;;Yes;Yes;;;Java, Javascript, Python
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
%Hack,;Prospector~\cite{mandelin_jungloid_2005};Yes;;;;;Yes;;;;;;;;;;;;Yes;;Yes;;;;;;Yes;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Portfolio~\cite{mcmillan_portfolio_2011,mcmillan_portfolio_2013, collin_mcmillan_finding_2011};Yes;;Yes;;;;;Yes;;;;Yes;;;;;;;Yes;Yes;;;;Yes;;;C, C++, Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;XSnippet~\cite{sahavechaphan_xsnippet:_2006};Yes;;;;;Yes;;;Yes;;;;;;;;;Yes;;Yes;;;;;;Yes;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;PARSEWeb~\cite{thummalapenta_parseweb:_2007};Yes;;;;Yes;Yes;;;;;Yes;;;;;;;Yes;;Yes;;;;;;Yes;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Chan et al.~\cite{chan_searching_2012};;Yes;Yes;;;;;;;Yes;;Yes;;;;;;;Yes;Yes;;;;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
